lang,layer,config1,config2,spearman,kendall,precision@k,jaccard@k,rbo
en,layer_0,sae_lape/flores_plus-en-de-scratch/devtest,sae_lape/flores_plus-en-de/dev,0.6952579967566744,0.5320686540198736,0.7,0.5384615384615384,0.632895651207105
en,layer_0,sae_lape/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/dev,0.725718194254446,0.5602240896358543,0.76,0.6129032258064516,0.726688552974874
hi,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,0.5,0.33333333333333337,0.02,0.010101010101010102,0.04263117022350221
hi,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,0.5,0.33333333333333337,0.02,0.010101010101010102,0.042628224304977765
hi,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.5,0.33333333333333337,0.02,0.010101010101010102,0.04263117022350221
hi,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9958988380041012,0.9636363636363637,0.92,0.8518518518518519,0.9349207305935928
hi,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,1.0,1.0,1.0,1.0,0.9983826907300766
hi,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.9958988380041012,0.9636363636363637,0.92,0.8518518518518519,0.9349207305935928
ja,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,,,0.0,0.0,0.0
ja,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,,,0.0,0.0,0.0
ja,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
ja,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9926174806960221,0.9321548017200191,0.92,0.8518518518518519,0.6888187167192638
ja,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
ja,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.9926174806960221,0.9321548017200191,0.92,0.8518518518518519,0.6888187167192638
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores-en-de/devtest,-0.9999999999999999,-1.0,0.0,0.0,2.999169977841423e-05
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/devtest,-1.0,-1.0,0.0,0.0,5.114724883917899e-06
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus/dev,-1.0,-1.0,0.0,0.0,3.1067968846707546e-06
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,,,0.0,0.0,0.0
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,-0.9999999999999999,-1.0,0.0,0.0,3.3751922209706206e-05
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de-scratch/devtest,-0.9999999999999999,-1.0,0.02,0.010101010101010102,0.0001274153857627717
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/devtest,-0.9999999999999999,-1.0,0.0,0.0,2.999169977841423e-05
de,layer_0,magnitude/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/dev,-0.9999999999999999,-1.0,0.0,0.0,3.3751922209706206e-05
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/devtest,0.5688545688545689,0.39682539682539686,0.38,0.2345679012345679,0.46747552546584376
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus/dev,0.5128851540616247,0.3445378151260504,0.32,0.19047619047619047,0.43010337101015483
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.2502463054187192,0.16748768472906403,0.36,0.21951219512195122,0.025632254034899948
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.9715926742043854,0.8631892015557081,0.92,0.8518518518518519,0.6392047437441598
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape/flores_plus-en-de-scratch/devtest,0.963616907437132,0.8476903870162297,0.84,0.7241379310344828,0.8385644404168053
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape/flores_plus-en-de/devtest,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
de,layer_0,sae_lape_streaming/flores-en-de/devtest,sae_lape/flores_plus-en-de/dev,0.9715926742043854,0.8631892015557081,0.92,0.8518518518518519,0.6392047437441598
de,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus/dev,0.9970471633629527,0.9684210526315791,0.92,0.8518518518518519,0.8523984447843986
de,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/devtest,0.03859649122807017,0.029239766081871343,0.24,0.13636363636363635,0.03217370409540921
de,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.5631917631917632,0.39047619047619053,0.36,0.21951219512195122,0.3376676792731361
de,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape/flores_plus-en-de-scratch/devtest,0.6100840336134454,0.42857142857142855,0.36,0.21951219512195122,0.48475207425040673
de,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape/flores_plus-en-de/devtest,0.5688545688545689,0.39682539682539686,0.38,0.2345679012345679,0.46747552546584376
de,layer_0,sae_lape_streaming/flores_plus/devtest,sae_lape/flores_plus-en-de/dev,0.5631917631917632,0.39047619047619053,0.36,0.21951219512195122,0.3376676792731361
de,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/devtest,0.13333333333333333,0.07602339181286549,0.26,0.14942528735632185,0.046876620520327136
de,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape_streaming/flores_plus-en-de/dev,0.5157894736842106,0.3360323886639676,0.36,0.21951219512195122,0.37370403039691447
de,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape/flores_plus-en-de-scratch/devtest,0.5459383753501401,0.36806722689075627,0.32,0.19047619047619047,0.46308298744286086
de,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape/flores_plus-en-de/devtest,0.5128851540616247,0.3445378151260504,0.32,0.19047619047619047,0.43010337101015483
de,layer_0,sae_lape_streaming/flores_plus/dev,sae_lape/flores_plus-en-de/dev,0.5157894736842106,0.3360323886639676,0.36,0.21951219512195122,0.37370403039691447
de,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape_streaming/flores_plus-en-de/dev,0.34282536151279197,0.2367816091954023,0.36,0.21951219512195122,0.07266823738679232
de,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de-scratch/devtest,0.17478260869565218,0.10869565217391304,0.28,0.16279069767441862,0.029965702322436935
de,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/devtest,0.2502463054187192,0.16748768472906403,0.36,0.21951219512195122,0.025632254034899948
de,layer_0,sae_lape_streaming/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/dev,0.34282536151279197,0.2367816091954023,0.36,0.21951219512195122,0.07266823738679232
de,layer_0,sae_lape_streaming/flores_plus-en-de/dev,sae_lape/flores_plus-en-de-scratch/devtest,0.9536204537949903,0.8270861833105334,0.86,0.7543859649122807,0.685506659438049
de,layer_0,sae_lape_streaming/flores_plus-en-de/dev,sae_lape/flores_plus-en-de/devtest,0.9715926742043854,0.8631892015557081,0.92,0.8518518518518519,0.6392047437441598
de,layer_0,sae_lape_streaming/flores_plus-en-de/dev,sae_lape/flores_plus-en-de/dev,0.9999999999999999,1.0,1.0,1.0,0.999973438601112
de,layer_0,sae_lape/flores_plus-en-de-scratch/devtest,sae_lape/flores_plus-en-de/devtest,0.963616907437132,0.8476903870162297,0.84,0.7241379310344828,0.8385644404168053
de,layer_0,sae_lape/flores_plus-en-de-scratch/devtest,sae_lape/flores_plus-en-de/dev,0.9536204537949903,0.8270861833105334,0.86,0.7543859649122807,0.685506659438049
de,layer_0,sae_lape/flores_plus-en-de/devtest,sae_lape/flores_plus-en-de/dev,0.9715926742043854,0.8631892015557081,0.92,0.8518518518518519,0.6392047437441598
